security_id,ric,ticker,isin,name,currency,asset_type,country,active,barra_universe
SEC_069,ABBN.S,ABBN,,ABB Ltd,CHF,COMMON,CH,true,true
SEC_070,NESN.S,NESN,,Nestle SA,CHF,COMMON,CH,true,true
SEC_071,ROG.S,ROG,,Roche Holding AG,CHF,COMMON,CH,true,true
SEC_072,NOVN.S,NOVN,,Novartis AG,CHF,COMMON,CH,true,true
SEC_073,UBSG.S,UBSG,,UBS Group AG,CHF,COMMON,CH,true,true
SEC_074,CSGN.S,CSGN,,Credit Suisse Group AG,CHF,COMMON,CH,false,true
SEC_075,ZURN.S,ZURN,,Zurich Insurance Group AG,CHF,COMMON,CH,true,true
SEC_076,CFR.S,CFR,,Cie Financiere Richemont SA,CHF,COMMON,CH,true,true
SEC_077,SRENH.S,SREN,,Swiss Re AG,CHF,COMMON,CH,true,true
SEC_078,LONN.S,LONN,,Lonza Group AG,CHF,COMMON,CH,true,true
SEC_079,GIVN.S,GIVN,,Givaudan SA,CHF,COMMON,CH,true,true
SEC_080,DHER.DE,DHER,,Delivery Hero SE,EUR,COMMON,DE,true,true
SEC_081,ENEI.MI,ENEL,,Enel SpA,EUR,COMMON,IT,true,true
SEC_082,RACE.MI,RACE,,Ferrari NV,EUR,COMMON,NL,true,true
SEC_083,MONC.MI,MONC,,Moncler SpA,EUR,COMMON,IT,true,true
SEC_084,ESLX.PA,LUX,,EssilorLuxottica SA,EUR,COMMON,FR,true,true
SEC_085,MDBI.MI,MB,,Mediobanca SpA,EUR,COMMON,IT,true,true
SEC_086,EDP.LS,EDP,,EDP Energias de Portugal SA,EUR,COMMON,PT,true,true
SEC_087,GALP.LS,GALP,,Galp Energia SGPS SA,EUR,COMMON,PT,true,true
SEC_088,JMT.LS,JMT,,Jeronimo Martins SGPS SA,EUR,COMMON,PT,true,true
SEC_089,PSON.L,PSON,,Pearson Plc,GBP,COMMON,GB,true,true
SEC_090,EXPN.L,EXPN,,Experian Plc,GBP,COMMON,GB,true,true
SEC_091,REL.L,REL,,RELX Plc,GBP,COMMON,GB,true,true
SEC_092,CPG.L,CPG,,Compass Group Plc,GBP,COMMON,GB,true,true
SEC_093,BATS.L,BATS,,British American Tobacco Plc,GBP,COMMON,GB,true,true
SEC_094,IMB.L,IMB,,Imperial Brands Plc,GBP,COMMON,GB,true,true
SEC_095,LGEN.L,LGEN,,Legal and General Group Plc,GBP,COMMON,GB,true,true
SEC_096,PRUD.L,PRU,,Prudential Plc,GBP,COMMON,GB,true,true
SEC_097,SJP.L,STJ,,St James Place Plc,GBP,COMMON,GB,true,true
SEC_098,WPP.L,WPP,,WPP Plc,GBP,COMMON,GB,true,true
SEC_099,SGE.L,SGE,,Sage Group Plc,GBP,COMMON,GB,true,true
SEC_100,AUTO.L,AUTO,,Auto Trader Group Plc,GBP,COMMON,GB,false,true
SEC_101,MNDI.L,MNDI,,Mondi Plc,GBP,COMMON,GB,true,true
SEC_102,SMDS.L,SMDS,,DS Smith Plc,GBP,COMMON,GB,false,true
SEC_103,ENI.MI,ENI,,ENI SpA,EUR,COMMON,IT,true,true
SEC_104,PRY.MI,PRY,,Prysmian SpA,EUR,COMMON,IT,true,true
SEC_105,ATL.MI,ATL,,Atlantia SpA,EUR,COMMON,IT,false,true
SEC_106,ORAN.PA,ORA,,Orange SA,EUR,COMMON,FR,true,true
SEC_107,ENGIE.PA,ENGI,,Engie SA,EUR,COMMON,FR,true,true
SEC_108,PUBP.PA,PUB,,Publicis Groupe SA,EUR,COMMON,FR,true,true
SEC_109,CAPP.PA,CAP,,Capgemini SE,EUR,COMMON,FR,true,true
SEC_110,DAST.PA,DSY,,Dassault Systemes SE,EUR,COMMON,FR,true,true
SEC_111,ALSO.PA,ALO,,Alstom SA,EUR,COMMON,FR,true,true
SEC_112,VIE.PA,VIE,,Veolia Environnement SA,EUR,COMMON,FR,true,true
